Meal Number,Meal Name,Calories,Ingredients,Weight (g),Volume,Protein (g),Carbohydrates (g),Fat (g),Meal Type,Sensitivity,Meal Category,Category
158,عصير المانجو الطازج,250,"مانجو (200g), ليمون (50g), عسل (20g)",150,,2,0,30,Low Fat,High Carb,Beverage,وجبة خفيفة
164,سلطة الفاكهة المختلطة,200,"تفاح (100g), برتقال (50g), موز (30g), عنب (20g)",150,,2,0,30,Low Fat,High Carb,حلويات,وجبة خفيفة
165,شوربة العدس بالخضار,300,"عدس (150g), جزر (50g), بصل (50g), زيت زيتون (20g)",250,,15,30,10,Normal,High Carb,مقبلات,غداء
166,سلطة التونة بالفاصوليا,250,"تونة (100g), فاصوليا (50g), طماطم (30g), فلفل (20g)",300,,25,20,15,Normal,High Protein,وجبة رئيسية,غداء
167,عصير العنب الطازج,200,"عنب (150g), ليمون (50g), عسل (20g)",120,,2,0,30,Low Fat,High Carb,مشروب,وجبة خفيفة
168,كوسا محشية باللحمة,350,"كوسا (200g), لحم مفروم (100g), أرز (50g), طماطم (20g)",400,,25,30,15,Normal,High Protein,وجبة رئيسية,غداء
169,فطائر السبانخ,300,"عجينة فطائر (150g), سبانخ (100g), جبنة (50g), بيض (20g)",450,,30,20,25,Normal,High Carb,وجبة رئيسية,غداء
170,سلطة البازلاء بالجبنة,250,"بازلاء (150g), جبنة (50g), بصل (20g), زيت زيتون (10g)",200,,15,25,10,Normal,High Protein,مقبلات,غداء
171,عصير الفراولة الطازج,200,"فراولة (150g), ليمون (50g), عسل (20g)",130,,2,0,30,Low Fat,High Carb,مشروب,وجبة خفيفة
172,سلطة الكينوا بالفاكهة,250,"كينوا (100g), فواكه مشكلة (100g), عسل (20g), لوز (20g)",300,,10,40,15,Normal,High Carb,مقبلات,غداء
173,معكرونة بالصوص البيضاء,350,"معكرونة (200g), صوص كريمي (100g), زبدة (50g), جبنة (50g)",600,,20,40,30,Normal,High Carb,وجبة رئيسية,العشاء
174,ساندويتش الهامبرجر,350,"لحم بقري (150g), خبز هامبرجر (100g), جبنة (50g), خس (30g), طماطم (20g)",450,,30,40,20,Normal,High Protein,وجبة رئيسية,غداء
175,فاكهة مشكلة بالزبادي,200,"فواكه مشكلة (150g), زبادي (50g), عسل (20g)",200,,5,30,5,Low Fat,High Carb,حلويات,وجبة خفيفة
177,كعكة الجزر بالجوز,300,"جزر (150g), دقيق (100g), سكر (50g), جوز (50g)",600,,20,40,30,Normal,High Carb,حلويات,وجبة خفيفة                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
